"NRA"	"Establecimiento"	"Sector"	"Número SCIAN"	"SCIAN"	"Clave Ambiental"	"Actividad Principal"	"Nombre Parque Industrial"	"Latitud Norte"	"Longitud Oeste"	"Calle"	"Número Exterior"	"Número Interior"	"Entre Calle 1"	"Entre Calle 2"	"Colonia"	"Localidad"	"Municipio"	"Entidad Federativa"	"Código Postal"
"DMOKE1503711"	"DAYTONA MOTOS, S.A. DE C.V."	"Otros"	"811111"	"Reparación mecánica en general de automóviles y camiones."	"KE"	"AGENCIA AUTOMOTRIZ CON TALLER DE SERVICIO DE MANTENIMIENTO AUTOMOTRIZ"		"19°21'29"""	"99°20'57"""	"CIRCUITO EMPRESARIAL"	"5"		"BOULEVARD MAGNO CENTRO"	"VIA MAGNA"	"EX HACIENDA JESUS DEL MONTE"	"INTERLOMAS"	"Huixquilucan"	"MEXICO"	"52760"
"DMS121207511"	"DESARROLLOS MINEROS SAN LUIS S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"331520"	"Moldeo por fundición de piezas metálicas no ferrosas."	"ND"	"MINERÍA DE ORO (SÓLO INCLUYE BENEFICIO)."	"TERRENOS RURALES FUERA DE POBLACION"	"17°41'16"""	"99°40'48"""	"DOMICILIO CONOCIDO S/N"	"NA"	"NA"	"NA"	"NA"	"NA"	"MEZCALA"	"Eduardo Neri"	"GUERRERO"	"40191"
"DNM621000711"	"DYNO NOBEL MEXICO S.A. DE C.V."	"Quimica"	"325920"	"Fabricación de explosivos."	"62"	"FABRICACION Y VENTA DE ACCESORIOS NO ELÉCTRICO PARA VOLADURAS"		"25°42'58"""	"103°39'30"""	"DOMICILIO CONOCIDO"	"SN"		"NA"	"NA"	"NA"	"DINAMITA"	"Gomez Palacio"	"DURANGO"	"35100"
"DNPMB1407011"	"DSM NUTRITIONAL PRODUCTS MEXICO SA DE CV"	"Quimica"	"325999"	"Fabricación de otros productos químicos."	"MB"	"PRODUCCIÓN DE SUSTANCIAS QUÍMICAS CUANDO EXISTE REACCIÓN QUÍMICA (EXCLUYE MEZCLAS SIN REAC"	"CORREDOR INDUSTRIAL"	"20°29'32"""	"103°13'28"""	"CARRETERA GUADALAJARA EL SALTO KM 22.5"	"NA"	"NA"	"NA"	"NA"	"NA"	"EL SALTO"	"El Salto"	"JALISCO"	"45680"
"DNT5U0101111"	"DAI NIPPON TORYO MEXICANA S.A. DE C.V."	"Pinturas y tintas"	"325510"	"Fabricación de pinturas y recubrimientos."	"5U"	"FABRICACION Y VENTA DE PINTURAS Y RECUBRIMIENTOS AUTOMOTRICES"		"22°4'3"""	"102°16'36"""	"PROLONGACIÓN AV. JUAREZ SUR"	"801"	"3"	"CARRETERA 45"	"AV. JUAREZ"	"LA TRINIDAD"	"SAN FRANCISCO DE LOS ROMO"	"San Francisco de los Romo"	"AGUASCALIENTES"	"20300"
"DOM5U1901811"	"DESARROLLOS QUIMICOS MUNDIALES, S.A. DE C.V."	"Pinturas y tintas"	"325510"	"Fabricación de pinturas y recubrimientos."	"5U"	"PRODUCCIÓN DE TODO TIPO DE PINTURAS, RECUBRIMIENTOS E IMPERMEABILIZANTES (EXCLUYE PRODUCTO"	"PARQUE INDUSTRIAL MITRAS"	"25°47'24"""	"100°25'45"""	"LIBRAMIENTO NORESTE"	"1013"		"ALFA"	"RIO PESQUERIA"	"PARQUE  INDUSTRIAL MITRAS"		"Garcia"	"NUEVO LEON"	"66000"
"DMCAI2201411"	"Dana de Mexico Corporación S. de R.L. de C.V. Planta CV Componentes"	"Automotriz"	"336350"	"Fabricación de partes de sistemas de transmisión para vehículos automotores."	"9J"	"Fabricación de autopartes para vehículos automotrices"	"Parque Industrial Benito Juárez"	"20°37'31"""	"100°25'57"""	"Acceso III"	"7 puerta 4"		"Bernardo Quintana"	"Acceso IV"	"Parque Industrial Benito Juárez"	"Querétaro"	"Queretaro"	"QUERETARO"	"76120"
"DME521502511"	"DL MEDICA, S.A. DE C.V."	"Articulos y productos compuestos de diferentes materiales"	"339111"	"Fabricación de equipo no electrónico para uso médico, dental y para laboratorio."	"1C"	"COMPRA - VENTA, EXPORTACIÓN, IMPORTACIÓN Y DISTRIBUCIÓN DE MATERIAL MEDICO"	"ZONA INDUSTRIAL DE CHALCO"	"19°14'47"""	"98°52'43"""	"FEBRERO DE 1917"	"SN"	"SN"	"CAMINO VIEJO A COCOTITLAN"	"CHABACANO"	"ZONA INDUSTRIAL"		"Chalco"	"MEXICO"	"56600"
"DME691102011"	"Diator de Mexico S.A. de C.V."	"Quimica"	"324191"	"Fabricación de aceites y grasas lubricantes."	"69"	"PRODUCCIÓN DE GRASAS, ACEITES LUBRICANTES Y ADITIVOS (INCLUYE MEZCLAS)."	"Colonia Industrial Julián de Obregón"	"21°6'12"""	"101°37'26"""	"Curtidor"	"550"		"Industriales"	"Libramiento Norte"	"Industrial Julian de Obregon"	"Leon"	"Leon"	"GUANAJUATO"	"37290"
"DME8L1902611"	"DENSO MEXICO S.A. DE C.V. PLANTA GUADALUPE"	"Automotriz"	"336390"	"Fabricación de otras partes para vehículos automotrices."	"9M"	"FABRICACION DE PARTES AUTOMOTRICES"	"PARQUE INDUSTRIAL ACUEDUCTO"	"25°43'58"""	"100°11'6"""	"AV. LAS NORIAS"	"1000"		"NA"	"NA"	"RANCHO VIEJO"	"GUADALUPE"	"Guadalupe"	"NUEVO LEON"	"67150"
"DME8V1900611"	"DENSO MEXICO S.A. DE C.V."	"Automotriz"	"336390"	"Fabricación de otras partes para vehículos automotrices."	"9M"	"FABRICACION DE PARTES AUTOMOTRICES"	"PARQUE INDUSTRIAL MONTERREY"	"25°46'18"""	"100°9'46"""	"BOULEVARD PARQUE INDUSTRIAL MONTERREY"	"502"		"CUARTA PONIENTE"	"QUINTA PONIENTE"	"PARQUE INDUSTRIAL MONTERREY"	"APODACA"	"Apodaca"	"NUEVO LEON"	"66603"
"DME9M1505111"	"DURAKON MEXICANA S. DE R.L. DE C.V."	"Automotriz"	"336390"	"Fabricación de otras partes para vehículos automotrices."	"9M"	"FABRICACIÓN DE OTRAS PARTES PARA VEHICULOS AUTOMOTRICES"	"PARQUE INDUSTRIAL LERMA"	"19°17'45"""	"99°31'39"""	"AVENIDA STA ANA"	"No. 7 L 23"	"MZ 3"	"SAN RAFAEL"	"CIRCUITO DE LA INDUSTRIA"	"PARQUE INDUSTRIAL LERMA"	"LERMA"	"Lerma"	"MEXICO"	"52000"
"DME9M2802213"	"DURA DE MEXICO S. A. DE C. V. PLANTA III"	"Automotriz"	"336390"	"Fabricación de otras partes para vehículos automotrices."	"9M"	"PRODUCCIÓN DE OTRAS AUTOPARTES (SI INCLUYE PROCESOS TÉRMICOS O DE FUNDICIÓN)."	"CIUDAD INDUSTRIAL"	"25°50'25"""	"97°25'54"""	"DIAGONAL LORENZO DE LA GARZA"	"42"		"NORTE 6"	"LAURO VILLAR"	"CIUDAD INDUSTRIAL"	"H MATAMOROS"	"Matamoros"	"TAMAULIPAS"	"87499"
"DME9M2802214"	"Dura de Mexico SA DE CV PLANTA 4"	"Automotriz"	"336390"	"Fabricación de otras partes para vehículos automotrices."	"9M"	"PRODUCCIÓN DE OTRAS AUTOPARTES (SI INCLUYE PROCESOS TÉRMICOS O DE FUNDICIÓN)."	"FINSA ORIENTE"	"25°50'6"""	"97°25'51"""	"AVENIDA PEDREGAL"	"1000"		"LAURO VILLAR"	"CHAPULTEPEC"	"FINSA ORIENTE"		"Matamoros"	"TAMAULIPAS"	"87499"
"DMEMB1505711"	"DYSTAR. S DE R.L DE C.V."	"Quimica"	"325999"	"Fabricación de otros productos químicos."	"MB"	"PRODUCCIÓN DE SUSTANCIAS QUÍMICAS CUANDO EXISTE REACCIÓN QUÍMICA (EXCLUYE MEZCLAS SIN REAC"	"SAN ANDRES ATOTO"	"19°28'12"""	"99°13'35"""	"SAN ANDRES ATOTO"	"5 Y 5 A"		"AV. 16 DE SEPTIEMBRE"	"BLVR. AVILA CAMACHO]"	"ALCE BLANCO"	"NAUCALPAN DE JUAREZ"	"Naucalpan de Juarez"	"MEXICO"	"53370"
"DLAKE1503711"	"DISTRIBUIDORA LOMAS ANAHUAC, S.A. DE C.V."	"Otros"	"811111"	"Reparación mecánica en general de automóviles y camiones."	"KE"	"VENTA Y REPARACION DE VEHICULOS"		"19°24'11"""	"99°16'17"""	"AVENIDA MAGNOCENTRO"	"03"		"PASAJE INTERLOMAS"	"AVENIDA DE LAS PALMAS"	"SAN FERNANDO LA HERRADURA"	"HUIXQUILUCAN"	"Huixquilucan"	"MEXICO"	"52760"
"DMAMB2111412"	"RETER COMERCIALIZADORA DE PRODUCTOS PETROQUIMICOS, S.A. DE C.V."	"Quimica"	"325999"	"Fabricación de otros productos químicos."	"MB"	"PRODUCCIÓN DE SUSTANCIAS QUÍMICAS CUANDO EXISTE REACCIÓN QUÍMICA (EXCLUYE MEZCLAS SIN REAC"	"PARQUE INDUSTRIAL PUEBLA 2000"	"19°3'47"""	"98°9'57"""	"PROLONGACION DEFENSORES DE LA REPUBLICA"	"1003"		"AVENIDA TECNOLOGICO"	"AVENIDA 18 DE NOVIEMBRE"	"ZONA INDUSTRIAL"	"PUEBLA"	"Puebla"	"PUEBLA"	"72226"
"DMAN31610711"	"Derivados Macroquímicos S.A. de C.V."	"Quimica"	"325999"	"Fabricación de otros productos químicos."	"MB"	"Fabricación de productos químicos no tóxicos"	"Parque Industrial Zacapu"	"19°50'1"""	"101°46'12"""	"Km. 4.5 Carretera ZacapuPuruándiro"	"SN"		"NA"	"NA"	"NA"	"Zacapu"	"Zacapu"	"MICHOACAN"	"58600"
"DMC7T2903911"	"DANA DE MEXICO CORPORACIÓN S. DE R.L. DE C.V."	"Metalurgica (incluye la siderurgica)"	"331510"	"Moldeo por fundición de piezas de hierro y acero."	"7T"	"FUNDICIÓN Y MOLDEO DE PIEZAS DE HIERRO Y ACERO."	"PARQUE INDUSTRIAL"	"19°23'45"""	"98°3'45"""	"CARRETERA FEDERAL MEXICO VERACRUZ"	"KM 143.6"		"NA"	"NA"	"XALOSTOC"		"Xaloztoc"	"TLAXCALA"	"90460"
"DMC9J2201412"	"Dana de México Corporación, S. de R.L. de C.V."	"Automotriz"	"336350"	"Fabricación de partes de sistemas de transmisión para vehículos automotores."	"9J"	"PRODUCCIÓN DE PARTES PARA EL SISTEMA DE TRANSMISIÓN AUTOMOTRIZ (SI INCLUYE PROCESOS TÉRMIC"	"Fracc. Industrial Benito Juárez"	"20°37'19"""	"100°26'9"""	"Acceso II"	"7"		"Prol. Blvd. Bernardo Quintana"	"Acceso IV"	"Fracc. Industrial Benito Juárez"	"Querétaro"	"Queretaro"	"QUERETARO"	"76120"
"DMC9M1510411"	"DANA DE MEXICOCORPORACION, S.DE R.L. DE C.V. DIVISION EJES TRACTIVOS"	"Automotriz"	"336390"	"Fabricación de otras partes para vehículos automotrices."	"9M"	"PRODUCCIÓN DE OTRAS AUTOPARTES (SI INCLUYE PROCESOS TÉRMICOS O DE FUNDICIÓN)."	"LA PRESA"	"19°31'24"""	"99°7'16"""	"AV. DE LAS INDUSTRIAS"	"10"		"LA PRESA"	"HERMILO MENA"	"LA PRESA"	"SAN JUAN IXHUATEPEC"	"Tlalnepantla de Baz"	"MEXICO"	"54180"
"DMC9M1510412"	"DANA DE MEXICO CORPORACIÓN S. DE R.L. DE C.V."	"Automotriz"	"336390"	"Fabricación de otras partes para vehículos automotrices."	"9M"	"PRODUCCIÓN DE OTRAS AUTOPARTES (SI INCLUYE PROCESOS TÉRMICOS O DE FUNDICIÓN)."	"ZONA INDUSTRIAL LA PRESA"	"19°34'11"""	"99°9'9"""	"AV, DE LAS INDUSTRIAS"	"24"		"LA PRESA"	"HERMILIO MENA"	"PRESA"	"SAN JUAN IXHUATEPEC"	"Tlalnepantla de Baz"	"MEXICO"	"54180"
"DMC9M2201431"	"Dana de México Corporación, S. de R.L. de C.V."	"Automotriz"	"336350"	"Fabricación de partes de sistemas de transmisión para vehículos automotores."	"9J"	"PRODUCCIÓN DE PARTES PARA EL SISTEMA DE TRANSMISIÓN AUTOMOTRIZ (SI INCLUYE PROCESOS TÉRMIC"	"Fracc. Industrial Benito Juárez"	"20°30'18"""	"100°8'29"""	"Acceso III"	"7"		"Prol. Blvd. Bernardo Quintana"	"Acceso  IV"	"Fracc. Industrial Benito Juárez"	"Querétaro"	"Queretaro"	"QUERETARO"	"76120"
"DMC9M2201432"	"Dana de México S. de R. L. de C.V."	"Automotriz"	"336390"	"Fabricación de otras partes para vehículos automotrices."	"9M"	"PRODUCCIÓN DE OTRAS AUTOPARTES (SI INCLUYE PROCESOS TÉRMICOS O DE FUNDICIÓN)."	"Fraccionamiento Industrial Benito Juarez"	"20°37'58"""	"100°20'18"""	"Acceso III"	"7"		"Prolongación Bernardo Quintana"	"Acceso IV"	"Fraccionamiento Industrial Benito Juarez"	"Querétaro"	"Queretaro"	"QUERETARO"	"76120"
"DHCUB2300521"	"DESARROLLOS HIDRAULICOS DE CANCUN SA DE CV- FOSA FRACCIONAMIENTO PLAYA BLANCA"	"Otros"	"222112"	"Captación, tratamiento y suministro de agua realizados por el sector privado."	"S7"	"TRATAMIENTO DE AGUA RESIDUAL"		"21°11'33"""	"86°48'28"""	"carretera Punta Sam- Playa Blanca"	"SN"		"NA"	"NA"	"Punta Sam"	"Cancun"	"Benito Juarez"	"QUINTANA ROO"	"77520"
"DHLMA2604311"	"DEARBORN HL S. DE R.L. DE C.V."	"Quimica"	"326194"	"Fabricación de otros productos de plástico de uso industrial sin reforzamiento."	"MA"	"FABRICACIÓN DE PRODUCTOS MOLDEADOS CON DIVERSAS RESINAS; NO INCLUYE LA MICROINDUSTRIA NI"	"PARQUE INDUSTRIAL NUEVO NOGALES"	"31°15'33"""	"110°57'27"""	"AVENIDA LIBRE COMERCIO"	"No.51"		"LUIS DONALDO COLOSIO MURRIETA"	"PRODUCTIVIDAD"	"PARQUE INDUSTRIAL NUEVO NOGALES"	"NOGALES"	"Nogales"	"SONORA"	"84094"
"DIA691102011"	"DIATOR S.A. DE C.V."	"Quimica"	"324191"	"Fabricación de aceites y grasas lubricantes."	"69"	"ELABORACION DE PRODUCTOS PARA USO AUTOMOTRIZ"	"COLONIA INDUSTRIAL JULIAN DE OBREGON"	"21°6'12"""	"101°37'26"""	"CURTIDOR"	"550"		"LIBRAMIENTO NORTE"	"OBREROS"	"INDUSTRIAL  JULIAN DE OBREGON"	"LEON"	"Leon"	"GUANAJUATO"	"37290"
"DICBB1701111"	"DESPERDICIOS INDUSTRIALES DE CUERNAVACA, SA DE CV"	"Otros"	"562111"	"Manejo de residuos peligrosos y servicios de remediación a zonas dañadas por materiales o residuos peligrosos."	"BB"	"MANEJO INTEGRAL DE RESIDUOS - TRANSPORTE DE RESIDUOS PELIGROSOS"		"18°53'18"""	"99°9'0"""	"PASEO CUAUHNAHUAC"	"KM 13.8"		"CLISERIO ALANIS"	"LAURO ORTEGA"	"PROGRESO"	"JIUTEPEC"	"Jiutepec"	"MORELOS"	"62550"
"DICSH0400311"	"DEMAR, INSTALADORA Y CONSTRUCTORA, S.A. DE C.V."	"Otros"	"237999"	"Otras construcciones de ingeniería civil."	"TF"	"INGENIERIA, ARQUITECTURA, DISEÑO, ESTUDIO Y PROYECTOS RELACIONADOS CON LA CONSRUCCIÓN"	"PUERTO INDUSTRIAL PESQUERO LAGUNA AZUL"	"18°38'41"""	"91°50'37"""	"5 SUR"	"MZA. Q"	"LOTE 9"	"NA"	"N/A"	"PUERTO INDUSTRIAL PESQUERO LAGUNA AZUL"	"CD.DEL CARMEN"	"Carmen"	"CAMPECHE"	"24140"
"DIN5T1505111"	"DINAFARMA S.A. DE C.V."	"Quimica"	"325412"	"Fabricación de preparaciones farmacéuticas."	"5T"	"PRODUCCIÓN DE FARMACÉUTICOS Y MEDICAMENTOS (NO INCLUYE EMPACADO Y/O ETIQUETADO)."	"PARQUE INDUSTRIAL CERRILLO II"	"19°18'29"""	"99°32'2"""	"CIRCUITO NEMESIO DIEZ RIEGA"	"10"		"AV. DE LAS PARTIDAS"	"GLORIETA NEMESIO DIEZ RIEGA"	"NA"		"Lerma"	"MEXICO"	"52000"
"DIS8S0200221"	"DATAPRODUCTS IMAGING SOLUTIONS, S.A DE C.V."	"Equipos y articulos electronicos, electricos y domesticos"	"334110"	"Fabricación de computadoras y equipo periférico."	"8S"	"REMANOFACTURA DE CINTAS Y CARTUCHOS PARA IMPRESORAS DE DIFERENTES TIPOS"	"PARQUE INDUSTRIAL MEXICALI"	"32°40'10"""	"115°24'8"""	"AV. CIRCUITO DE LA AMISTAD"	"2701"		"C. DE LA SALUD"	"AV. REPUBLICA DE BRASIL"		"MEXICALI"	"Mexicali"	"BAJA CALIFORNIA"	"21210"
"DIZ9M0900711"	"DMI IZTAPALAPA S.A. DE C.V."	"Automotriz"	"336390"	"Fabricación de otras partes para vehículos automotrices."	"9M"	"MAQUINADO Y ENSAMBLADO DE PIEZAS DE HIERRO NODULAR PARA INDUSTRIA AUTOMOTRIZ"		"19°21'27"""	"99°5'4"""	"AV. ERMITA IZTAPAPA"	"1478"		"GUADALUPE"	"MIGUEL HIDALGO"	"BARRIO SAN MIGUEL"		"Iztapalapa"	"DISTRITO FEDERAL"	"09360"
"DJS5W1904611"	"DETERGENTES Y JABONES SASIL, S.A. DE C.V."	"Quimica"	"325610"	"Fabricación de jabones, limpiadores y dentífricos."	"5W"	"PRODUCCIÓN DE JABONES Y DETERGENTES (SÓLO SI SE PRODUCEN LAS SUSTANCIAS BÁSICAS; INCLUYE O"	"SECTOR INDUSTRIAL NOGALAR"	"25°43'8"""	"100°17'34"""	"AV. REPUBLICA MEXICANA"	"101"		"AVENIDA NOGALAR"	"VIA MATAMOROS"	"SECTOR INDUSTRIAL NOGALAR"		"San Nicolas de los Garza"	"NUEVO LEON"	"66848"
"DHA9K1510611"	"DANA HEAVY AXLE MEXICO S.A. DE C.V."	"Automotriz"	"336330"	"Fabricación de partes de sistemas de dirección y de suspensión para vehículos automotrices."	"9K"	"PRODUCCIÓN DE PARTES PARA EL SISTEMA DE SUSPENSIÓN Y DIRECCIÓN (SI INCLUYE PROCESOS TÉRMIC"	"INDUSTRIAL TOLUCA"	"19°17'37"""	"99°36'32"""	"ALBERTO EINSTEIN"	"401"		"INDUSTRIA QUIMICA"	"INDUSTRIA AUTOMOTRIZ"	"IND AUTOMOTRIZ E IND QUIMICA"	"TOLUCA"	"Toluca"	"MEXICO"	"50071"
"DHA9K1510621"	"DANA HEAVY AXLE MÉXICO, S.A. DE C.V. PLANTA TOLUCA II"	"Automotriz"	"336330"	"Fabricación de partes de sistemas de dirección y de suspensión para vehículos automotrices."	"9K"	"PRODUCCIÓN DE PARTES PARA EL SISTEMA DE SUSPENSIÓN Y DIRECCIÓN (SI INCLUYE PROCESOS TÉRMIC"	"COESILLO"	"19°17'46"""	"99°34'35"""	"AV. INDUSTRIA AUTOMOTRIZ"	"128"	"MZ 520"	"IXTLIXOCHITL"	"AVENIDA INDUSTRIAL"	"PARQUE INDUSTRIAL COESILLO"	"TOLUCA"	"Toluca"	"MEXICO"	"50200"
"DHCS72300512"	"DESARROLLOS HIDRAULICOS DE CANCUN SA DE CV- PTAR VILLA MORELOS II"	"Otros"	"222112"	"Captación, tratamiento y suministro de agua realizados por el sector privado."	"S7"	"TRATAMIENTO DE AGUA RESIDUAL"		"20°52'15"""	"86°53'47"""	"Calle Av. Cetina Gasca"	"SM 21 Mza 6"	"Lote 9."	"NA"	"NA"	"Villas Morelos II"	"PUERTO MORELOS"	"Benito Juarez"	"QUINTANA ROO"	"77580"
"DHCS72300513"	"DESARROLLOS HIDRAULICOS DE CANCUN SA DE CV- PTAR ISLA AZUL"	"Otros"	"222112"	"Captación, tratamiento y suministro de agua realizados por el sector privado."	"S7"	"TRATAMIENTO DE AGUA RESIDUAL"		"21°7'31"""	"86°50'23"""	"Calle Av. Girasol"	"SM 312"	"Lote 1 y 2"	"NA"	"NA"	"Residencial Isla Azul"	"CANCUN"	"Benito Juarez"	"QUINTANA ROO"	"77500"
"DHCS72300514"	"DESARROLLOS HIDRAULICOS DE CANCUN SA DE CV- PTAR VILLA MORELOS I"	"Otros"	"222112"	"Captación, tratamiento y suministro de agua realizados por el sector privado."	"S7"	"TRATAMIENTO DE AGUAS RESIDUALES"		"20°51'35"""	"86°54'29"""	"SM 18 CARRETRA FEDERAL CANCUN-TULUM"	"SM 18"		"NA"	"NA"	"Villas Morelos I"	"PUERTO MORELOS"	"Benito Juarez"	"QUINTANA ROO"	"77580"
"DHCUB2300311"	"DESARROLLOS HIDRAULICOS DE CANCUN SA DE CV- PTAR ISLA MUJERES"	"Otros"	"222112"	"Captación, tratamiento y suministro de agua realizados por el sector privado."	"S7"	"TRATAMIENTO DE AGUAS RESIDUALES"		"21°12'59"""	"86°43'14"""	"Carretera Garrafón"	"S.N"		"NA"	"NA"	"Fraccionamiento Mundaca"	"Isla Mujeres"	"Isla Mujeres"	"QUINTANA ROO"	"77400"
"DHCUB2300511"	"DESARROLLOS HIDRAULICOS DE CANCUN SA DE CV- PTAR CORALES"	"Otros"	"222112"	"Captación, tratamiento y suministro de agua realizados por el sector privado."	"S7"	"TRATAMIENTO DE AGUA RESIDUAL"		"21°11'42"""	"86°49'4"""	"Av. Bonampack"	"SM 77"	"Mza 17 Lote 6"	"NA"	"NA"	"Corales"	"Cancun"	"Benito Juarez"	"QUINTANA ROO"	"77528"
"DHCUB2300512"	"DESARROLLOS HIDRAULICOS DE CANCUN SA DE CV- PTAR NORTE"	"Otros"	"222112"	"Captación, tratamiento y suministro de agua realizados por el sector privado."	"S7"	"TRATAMIENTO DE AGUA RESIDUAL"		"21°12'16"""	"86°49'41"""	"Prolongación Tulum"	"SN"		"NA"	"NA"	"Región 237 Franja Ejidal"	"CANCUN"	"Benito Juarez"	"QUINTANA ROO"	"77500"
"DHCUB2300513"	"DESARROLLOS HIDRAULICOS DE CANCUN SA DE CV- PTAR CARIBE 2000"	"Otros"	"222112"	"Captación, tratamiento y suministro de agua realizados por el sector privado."	"S7"	"TRATAMIENTO DE AGUAS RESIDUALES"		"21°8'18"""	"86°51'12"""	"Av. Nichupté"	"Smza.95"		"Av Comalcalco"	"NA"	"Region 511"	"Cancun"	"Benito Juarez"	"QUINTANA ROO"	"77500"
"DHCUB230051C"	"DESARROLLOS HIDRAULICOS DE CANCUN SA DE CV- PTAR NORPONIENTE"	"Otros"	"222112"	"Captación, tratamiento y suministro de agua realizados por el sector privado."	"S7"	"TRATAMIENTO DE AGUA RESIDUALES"		"21°10'51"""	"86°53'48"""	"Prolongación  Avenida 137"	"S.N"		"N A"	"N A"	"Zona Ejidal Alfredo V. Bonfil"	"CANCUN"	"Benito Juarez"	"QUINTANA ROO"	"77510"
"DEAMD1902611"	"Deacero, S.A. de C.V. Planta Alambres Guadalupe"	"Metalurgica (incluye la siderurgica)"	"332110"	"Fabricación de productos metálicos forjados y troquelados."	"MD"	"TRATAMIENTO TÉRMICO DE PIEZAS METÁLICAS CON COMBUSTIBLES FÓSILES; NO INCLUYE LA MICROINDUS"	"Colonia Industrial"	"25°42'3"""	"100°13'54"""	"Avenida Ruíz Cortínes"	"1421"		"Carretera a Miguel Alemán"	"General Bonifacio Salinas"	"Industrial Las Américas"		"Guadalupe"	"NUEVO LEON"	"67128"
"DEC9M1512111"	"DECOPLAS S.A. de C.V."	"Automotriz"	"336390"	"Fabricación de otras partes para vehículos automotrices."	"9M"	"PRODUCCIÓN DE OTRAS AUTOPARTES (SI INCLUYE PROCESOS TÉRMICOS O DE FUNDICIÓN)."	"PARQUE INDUSTRIAL CUAMATLA"	"19°40'4"""	"99°13'10"""	"CALZADA LA VENTA"	"8"		"AUTOPISTA MXICO  QUERETARO"	"AVENIDA CHALMA"	"PARQUE INDUSTRIAL CUAMATLA"	"CUAUTITLAN IZCALLI"	"Cuautitlan Izcalli"	"MEXICO"	"54730"
"DEC9M2802211"	"DECOFINMEX S.A. DE C.V."	"Automotriz"	"336390"	"Fabricación de otras partes para vehículos automotrices."	"9M"	"PRODUCCIÓN DE OTRAS AUTOPARTES (SI INCLUYE PROCESOS TÉRMICOS O DE FUNDICIÓN)."	"PARQUE INDUSTRIAL DEL NORTE"	"25°52'47"""	"97°30'15"""	"AVENIDA UNIONES"	"3"		"AGUASCALIENTES"	"TABASCO"	"PARQUE INDUSTRIAL DEL NORTE"	"H. MATAMOROS"	"Matamoros"	"TAMAULIPAS"	"87316"
"DEGUB2007811"	"DEGREMONT, S.A. DE C.V"	"Otros"	"222112"	"Captación, tratamiento y suministro de agua realizados por el sector privado."	"S7"	"TRATAMIENTOS DE AGUAS RESIDUALES INDUSTRIALES, MUNICIPALES Y DESALINIZACION DE AGUA DE MAR"	"EJIDAL"	"16°11'43"""	"95°10'43"""	"CAMINO A BOCA DEL RIO ESQUINA LA VENTOSA"	"SN"		"CAMINO A BOCA DEL RIO"	"ESQUINA LA VENTOSA"	"LA SOLEDAD"	"SALINA CRUZ"	"Santo Domingo Tehuantepec"	"OAXACA"	"70680"
"DEL5R2800311"	"DYNASOL ELASTÓMEROS S.A. DE C.V."	"Quimica"	"325212"	"Fabricación de hules sintéticos."	"5R"	"Fabricación de Hule Sintetico"	"Corredor Industrial Altamira"	"22°26'24"""	"97°58'6"""	"Carretera  Tampico Mante"	"Km 28.5"		"NA"	"NA"	"NA"	"ALTAMIRA"	"Altamira"	"TAMAULIPAS"	"89600"
"DEM5J1512011"	"DEMATCO, S.A DE C.V."	"Quimica"	"325130"	"Fabricación de pigmentos y colorantes sintéticos."	"5J"	"PRODUCCIÓN DE COLORANTES Y PIGMENTOS A PARTIR DE ÓXIDOS DE HIERRO"		"19°47'40"""	"99°4'26"""	"Carretera Los Reyes Zumpango"	"312"				"Barrio de San Lorenzo"	"Zumpango"	"Zumpango"	"MEXICO"	"55600"
"DES622802221"	"DETONADORES ESTRELLA S.A. DE C.V."	"Quimica"	"325920"	"Fabricación de explosivos."	"62"	"ENSAMBLE DE DETONADORES ELECTRICOS, NO ELECTRICOS Y ELECTRONICOS"	"EJIDO PACHECO"	"25°39'43"""	"97°38'42"""	"BRECHA 82"	"SN"		"CARRETERA MATAMOROS VALLE HERMOSO KM 37"	"38 FRENTE A EJIDO LAS BLANCAS"	"EJIDO PACHECO"	"H. MATAMOROS"	"Matamoros"	"TAMAULIPAS"	"87563"
"DES6E2201211"	"DURMAN ESQUIVEL S.A. DE C.V."	"Articulos y productos plasticos"	"326199"	"Fabricación de otros productos de plástico sin reforzamiento."	"6E"	"FABRICACION DE OTROS PRODUCTOS DE PLASTICO"	"CARRETERA"	"20°31'19"""	"100°10'28"""	"CAMINO LA PALMA ESTACION EL AHORCADO"	"KM 1.5"				"EL AHORCADO"	"LA PALMA"	"Pedro Escobedo"	"QUERETARO"	"76700"
"DESLJ1512111"	"DESYME S.A. DE C.V."	"Metalurgica (incluye la siderurgica)"	"331510"	"Moldeo por fundición de piezas de hierro y acero."	"LJ"	"FUNDICIÓN DE CHATARRA DE FIERRO, DE ALUMINIO, DE BRONCE, DE PLOMO Y DE OTROS MATERIALES ME"	"PARQUE INDUSTRIAL LA LUZ"	"19°29'10"""	"99°11'10"""	"AV. DE LA LUZ"	"78"		"AV. DE LA LUZ"	"AV. DE LA LUZ"	"FRAC. PARQUE INDUSTRIAL LA LUZ"	"CUATITLAN IZCALLI"	"Cuautitlan Izcalli"	"MEXICO"	"54716"
